question,ground_truth,contexts,evolution_type
Compare the security measures for online banking authentication with the data privacy protections VietBank provides. How do they work together?,"Authentication uses biometric (fingerprint/Face ID), 2FA with OTP, device binding (max 2 devices), and session timeout. Data privacy includes TLS 1.3 encryption, right to access/correct/delete data, and consent-based marketing. Together they form a defense-in-depth approach: authentication prevents unauthorized access while privacy policies govern how authorized data is handled.","['Biometric authentication: Fingerprint and Face ID. Two-factor authentication (2FA): OTP via SMS or authenticator app. Device binding: Each account linked to max 2 devices.', 'Personal data is used for: Account management, credit assessment, regulatory compliance, marketing (with consent), fraud prevention.', 'All transactions encrypted with TLS 1.3. Right to access personal data, right to correct inaccurate data, right to request deletion.']",multi_context
How does VietBank's KYC policy interact with its loan application process? What documents overlap?,"KYC requires CCCD for Vietnamese citizens, proof of address, and information updates every 2 years. Loan applications require CCCD, household registration book, income proof, and collateral documents. The CCCD is required by both processes. KYC verification must be current before a loan can be processed, and EDD applies to high-value loans exceeding 400M VND.","['Vietnamese citizens: CCCD (12-digit Citizen Identity Card) is mandatory. Every 2 years for standard accounts.', 'Required documents for personal loans: CCCD and household registration book, Income proof (salary slips for 3 months), Collateral documents.', 'EDD is required for: High-value transactions exceeding 400,000,000 VND.']",multi_context
"A customer wants to open a business account, apply for a trade finance letter of credit, and set up mobile banking. What are the total requirements and fees?","Business account requires: business registration, company seal, board resolution, tax certificate, minimum 10M VND deposit. L/C issuance fee is 0.15-0.25% of value. Mobile app provides fund transfers, bill payments, and QR payments. Internal transfers are free but interbank costs 5,500 VND. Total initial requirement includes all business documents plus 10M VND deposit.","['Business accounts require: Business registration certificate, Company seal specimen, Board resolution, Tax registration certificate, Minimum deposit of 10,000,000 VND.', 'Letters of Credit (L/C): Issuance fee 0.15-0.25% of value.', 'Fund transfers (domestic and international), Bill payments, QR code payments. Internal transfer: Free. Interbank transfer (Napas): 5,500 VND.']",multi_context
How does VietBank's complaint resolution process connect with its data privacy rights and the incident response procedure?,"Complaint resolution has 3 internal levels (2 days, 5 days, 15 days) plus State Bank ombudsman. Data privacy grants rights to access, correct, and delete data, and lodge complaints with data protection authority. Incident response requires customer notification within 72 hours and State Bank notification within 24 hours. All three processes converge when a data breach triggers both incident response and customer complaints.","['Level 1: Branch/Call center (2 business days). Level 2: Regional manager (5 business days). Level 3: Head office (15 business days). External: State Bank ombudsman.', 'Right to access personal data, right to correct inaccurate data, right to request deletion, right to lodge complaint with data protection authority.', 'Customer notification within 72 hours. State Bank notification within 24 hours. Remediation measures within 30 days.']",multi_context
"Explain the relationship between VietBank's interest rate policy, the State Bank base rate, and how this affects both savings and loan products.","State Bank base rate is 4.5%. Deposit rates are capped: demand deposits max 1.0%, term < 6 months max 4.75%, term ≥ 6 months market-determined. Lending rates are based on the base rate plus customer risk profile (Grade A-D). Premium Savings offers 5.8% while standard offers 4.5%. Home loans range 7.5-9%, with Grade A customers getting 0.5-1.0% reduction. The spread between deposit and lending rates is VietBank's profit margin.","['Vietnam State Bank base rate (currently 4.5%). Customer credit score (VietBank internal scoring A-D).', 'Demand deposits: max 1.0% per annum. Term deposits < 6 months: max 4.75%. Term deposits ≥ 6 months: market-determined.', 'Standard Savings - 4.5% annual interest. Premium Savings - 5.8% annual interest.', 'Home Loan: 7.5-9% interest rate. Customers with Grade A credit receive preferential rates 0.5-1.0% below standard.']",multi_context
"What are the different ways VietBank uses technology across its digital banking, security, and investment platforms?","Digital banking uses a mobile app with biometric auth, QR payments, and real-time alerts. Security employs AI-powered fraud detection, TLS 1.3 encryption, 3D Secure for card-not-present, and EMV chip standard. Investment platform offers mutual funds and bonds through the app. All are integrated: the app serves as single entry point, security layers protect transactions, and investment products are accessible digitally.","['VietBank Mobile App features: Balance inquiry, Fund transfers, QR code payments, Investment products (mutual funds, bonds).', 'Real-time fraud detection: AI-powered transaction monitoring. All transactions encrypted with TLS 1.3. Card-not-present transactions require 3D Secure. EMV chip security standard.', 'VietBank Growth Fund, Balanced Fund, Bond Fund, Money Market Fund available through mobile app.']",multi_context
How does VietBank handle cross-border transactions from both a product offering and regulatory compliance perspective?,"Products include SWIFT transfers (1-3 days), forward contracts, L/Cs (0.15-0.25%), and trade loans. Regulatory requirements include: exchange rates updated every 30 minutes, max 50,000 USD per remittance, dual authorization for international transfers, compliance with State Bank foreign exchange controls, and AML reporting for suspicious cross-border activity. Correspondent banks include JP Morgan, Citibank, HSBC.","['SWIFT transfers: 1-3 business days. Correspondent banks: JP Morgan, Citibank, HSBC, Standard Chartered.', 'Maximum individual remittance: 50,000 USD per transaction. International transfers require dual authorization.', 'Letters of Credit (L/C): Issuance fee 0.15-0.25% of value. Trade loans: Preferential rates for exporters.', 'Cash transactions ≥ 400,000,000 VND require reporting to State Bank. All transfers must comply with State Bank regulations.']",multi_context
"Compare all the insurance and protection features available across VietBank's credit cards, bancassurance products, and investment products.","Credit cards include free accident insurance up to 500M VND. Bancassurance offers life, health, travel, and property insurance through partnerships. Investment products include capital-protected structured deposits. Government bonds can be used as loan collateral, providing an additional safety net. The claim process requires 24-hour reporting and 5-10 day assessment with settlement via VietBank account.","['Free accident insurance up to 500M VND (all credit cards).', 'Bancassurance: Life Insurance, Health Insurance, Travel Insurance, Property Insurance.', 'Structured Deposits: Capital-protected products with upside participation.', 'Government bonds can be used as collateral for loans.', 'Report incident within 24 hours. Claims assessment (5-10 business days).']",multi_context
"What are the end-to-end steps and timeline for a customer who wants to dispute a fraudulent transaction, considering the complaint resolution, security incident, and AML processes?","The customer reports via hotline. Security team performs immediate containment. SAR filed within 24 hours if suspicious. Level 1 complaint resolution within 2 business days. State Bank notified within 24 hours if breach confirmed. Customer formally notified within 72 hours. If not resolved, escalates to Level 2 (5 days) then Level 3 (15 days). Remediation within 30 days. Customer can escalate to State Bank ombudsman. Records retained for 5+ years.","['Level 1: Branch/Call center resolution (within 2 business days). Level 2: Regional manager review (within 5 business days).', 'Immediate containment and investigation. Customer notification within 72 hours. State Bank notification within 24 hours.', 'Staff must file internal SAR within 24 hours. Compliance department reviews within 3 business days.', 'Transaction records retained for minimum 5 years.']",multi_context
"How do VietBank's fee structures differ across personal banking, credit cards, and digital banking services?","Personal banking: account opening requires 500K VND deposit (standard) or 10M (business). Credit cards: annual fees range 200K-3M VND with cashback 0.5-2.0%, late fees 4% of minimum, revolving interest 1.5-2.5%/month. Digital banking: internal transfers free, interbank 5,500 VND, international 0.1% (min 200K VND), paper statements 20K VND. Fee changes require 30-day notice with 90-day grandfathering.","['Minimum initial deposit of 500,000 VND. Business account minimum deposit of 10,000,000 VND.', 'Classic 200,000 VND, Gold 500,000 VND, Platinum 1,500,000 VND, Signature 3,000,000 VND. Late payment fee: 4% of minimum.', 'Internal transfer: Free. Interbank transfer (Napas): 5,500 VND. International transfer: 0.1% (min 200,000 VND). Paper statement: 20,000 VND.', 'Customers notified 30 days before any fee increase. Existing customers grandfathered for 90 days.']",multi_context
"What are the complete requirements and processes for a foreign national to open an account, apply for a credit card, and use mobile banking at VietBank?","Foreign nationals need passport with valid visa for KYC. They can open a current or savings account with minimum 500K VND deposit. Credit card application requires income proof and credit assessment (3-5 business days). Mobile app requires biometric setup, device binding (max 2 devices), and 2FA. All subject to EDD if from high-risk jurisdiction.","['Foreign nationals: Passport with valid visa or residence permit.', 'Minimum initial deposit of 500,000 VND. Credit assessment (3-5 business days).', 'Biometric authentication (fingerprint, Face ID). Device binding: Each account linked to max 2 devices.', 'EDD is required for: customers from high-risk jurisdictions.']",multi_context
How does VietBank's loan default management connect with its AML monitoring and customer data retention policies?,"Loan defaults follow a 5-stage classification (Current to Loss). At 91+ days, legal proceedings begin. AML monitoring flags transactions inconsistent with customer profile, which could include unusual loan repayment patterns. Both systems rely on 5+ year data retention. SAR filing requirements apply if default-related transactions appear suspicious. All records retained for minimum 5 years after account closure.","['Overdue: 0-10 Current, 10-30 Special Mention, 31-90 Substandard, 91-180 Doubtful, 181+ Loss.', 'Monitor for transactions inconsistent with customer profile. SAR filed within 24 hours.', 'Transaction records retained for minimum 5 years. Customer identification records retained for 5 years after account closure.']",multi_context
"Compare the risk mitigation strategies across VietBank's digital security, investment products, and insurance offerings.","Digital security uses defense-in-depth: biometrics, 2FA, TLS 1.3, AI fraud detection, and 3D Secure. Investments offer risk tiers from Money Market (5% target, low risk) to Growth Fund (15%, high risk), plus capital-protected structured deposits. Insurance covers life, health, travel, and property risks. Together they protect against cyber threats (security), market risk (investment diversification), and personal/property risk (insurance).","['Biometric authentication, 2FA, real-time AI fraud detection, TLS 1.3, 3D Secure for card-not-present.', 'Money Market Fund: Low risk, 5% target. Growth Fund: Equity-focused, 15% target. Structured Deposits: Capital-protected.', 'Bancassurance: Life Insurance, Health Insurance, Travel Insurance, Property Insurance. Free accident insurance up to 500M VND.']",multi_context
