question,answer_a,answer_b,run1_winner,run1_reason,run2_winner,run2_reason,winner_after_swap
How many failed login attempts cause account lockout?,"Based on VietBank's documentation, The account opening process typically takes 15-30 minutes at any VietBank branch. To open a personal savings account at VietBank, customers must provide: Valid Citizen Identity Card (CCCD) with 12-digit number, Proof of residential address (utility bill or rental contract), Minimum initial deposit of 500,000 VND, Tax identification number (TIN) for interest reporting. Term Deposit - 6.2-7.5% depending on term (3, 6, 12, 24 months).","According to VietBank's policy documentation, The account opening process typically takes 15-30 minutes at any VietBank branch. To open a personal savings account at VietBank, customers must provide: Valid Citizen Identity Card (CCCD) with 12-digit number, Proof of residential address (utility bill or rental contract), Minimum initial deposit of 500,000 VND, Tax identification number (TIN) for interest reporting. VietBank offers: Standard Savings - 4.5% annual interest, no minimum balance after opening. Please contact your nearest branch for the most current information.",A,Answer A provides more accurate and relevant information.,B,Answer A provides more accurate and relevant information.,tie
What is the OTP validity period?,"Based on VietBank's documentation, The account opening process typically takes 15-30 minutes at any VietBank branch. To open a personal savings account at VietBank, customers must provide: Valid Citizen Identity Card (CCCD) with 12-digit number, Proof of residential address (utility bill or rental contract), Minimum initial deposit of 500,000 VND, Tax identification number (TIN) for interest reporting. Late payment fee: 4% of minimum payment amount.","According to VietBank's policy documentation, To open a personal savings account at VietBank, customers must provide: Valid Citizen Identity Card (CCCD) with 12-digit number, Proof of residential address (utility bill or rental contract), Minimum initial deposit of 500,000 VND, Tax identification number (TIN) for interest reporting. The account opening process typically takes 15-30 minutes at any VietBank branch. Billing cycle: 30 days. Please contact your nearest branch for the most current information.",tie,Both answers are comparable in quality and accuracy.,A,Answer B is more comprehensive and better structured.,tie
What is the maximum amount for individual international remittance?,"Based on VietBank's documentation, The account opening process typically takes 15-30 minutes at any VietBank branch. To open a personal savings account at VietBank, customers must provide: Valid Citizen Identity Card (CCCD) with 12-digit number, Proof of residential address (utility bill or rental contract), Minimum initial deposit of 500,000 VND, Tax identification number (TIN) for interest reporting. International transfers require dual authorization.","According to VietBank's policy documentation, To open a personal savings account at VietBank, customers must provide: Valid Citizen Identity Card (CCCD) with 12-digit number, Proof of residential address (utility bill or rental contract), Minimum initial deposit of 500,000 VND, Tax identification number (TIN) for interest reporting. The account opening process typically takes 15-30 minutes at any VietBank branch. Max remittance: 50,000 USD. Please contact your nearest branch for the most current information.",B,Answer B is more comprehensive and better structured.,A,Answer B is more comprehensive and better structured.,tie
How often must customer information be updated for standard accounts?,"Based on VietBank's documentation, To open a personal savings account at VietBank, customers must provide: Valid Citizen Identity Card (CCCD) with 12-digit number, Proof of residential address (utility bill or rental contract), Minimum initial deposit of 500,000 VND, Tax identification number (TIN) for interest reporting. The account opening process typically takes 15-30 minutes at any VietBank branch. Student Account - 3.0% interest, no fees for students under 25.","According to VietBank's policy documentation, The account opening process typically takes 15-30 minutes at any VietBank branch. To open a personal savings account at VietBank, customers must provide: Valid Citizen Identity Card (CCCD) with 12-digit number, Proof of residential address (utility bill or rental contract), Minimum initial deposit of 500,000 VND, Tax identification number (TIN) for interest reporting. Premium Savings - 5.8% annual interest, minimum balance 100,000,000 VND. Please contact your nearest branch for the most current information.",tie,Both answers are comparable in quality and accuracy.,A,Answer B is more comprehensive and better structured.,tie
What encryption standard does VietBank use for transactions?,"Based on VietBank's documentation, Term Deposit - 6.2-7.5% depending on term (3, 6, 12, 24 months). Premium Savings - 5.8% annual interest, minimum balance 100,000,000 VND. The account opening process typically takes 15-30 minutes at any VietBank branch.","According to VietBank's policy documentation, Term Deposit - 6.2-7.5% depending on term (3, 6, 12, 24 months). Premium Savings - 5.8% annual interest, minimum balance 100,000,000 VND. The account opening process typically takes 15-30 minutes at any VietBank branch. Please contact your nearest branch for the most current information.",A,Answer A provides more accurate and relevant information.,A,Answer B is more comprehensive and better structured.,A
What is the minimum deposit for Structured Deposits?,"The minimum initial deposit required to open a personal savings account at VietBank is 500,000 VND.","According to VietBank's policy documentation, The account opening process typically takes 15-30 minutes at any VietBank branch. To open a personal savings account at VietBank, customers must provide: Valid Citizen Identity Card (CCCD) with 12-digit number, Proof of residential address (utility bill or rental contract), Minimum initial deposit of 500,000 VND, Tax identification number (TIN) for interest reporting. Term Deposit - 6.2-7.5% depending on term (3, 6, 12, 24 months). Please contact your nearest branch for the most current information.",A,Answer A provides more accurate and relevant information.,B,Answer A provides more accurate and relevant information.,tie
How long are transaction records retained?,"Based on VietBank's documentation, VietBank Mobile App features: Balance inquiry, transaction history, fund transfers, bill payments, QR code payments, account management, loan application, investment products, customer support chat. Security features: Biometric authentication (fingerprint, Face ID), 2FA (OTP via SMS/authenticator), transaction limits, device binding (max 2 devices), real-time AI fraud detection, session timeout (5 minutes). Passwords: min 8 chars, change every 90 days.","According to VietBank's policy documentation, VietBank Mobile App features: Balance inquiry, transaction history, fund transfers, bill payments, QR code payments, account management, loan application, investment products, customer support chat. Account lockout after 5 failed attempts. Passwords: min 8 chars, change every 90 days. Please contact your nearest branch for the most current information.",B,Answer B is more comprehensive and better structured.,A,Answer B is more comprehensive and better structured.,tie
What is the current State Bank of Vietnam base rate?,"Based on VietBank's documentation, Customers with Grade A credit (score > 750) receive 0.5-1.0% below standard rates. Interest rates based on: State Bank base rate (currently 4.5%), customer credit score (Grade A-D), loan-to-value ratio. To open a personal savings account at VietBank, customers must provide: Valid Citizen Identity Card (CCCD) with 12-digit number, Proof of residential address (utility bill or rental contract), Minimum initial deposit of 500,000 VND, Tax identification number (TIN) for interest reporting.","According to VietBank's policy documentation, Deposit rates: demand deposits max 1.0%, term < 6 months max 4.75%, term ≥ 6 months market-determined. Interest rates based on: State Bank base rate (currently 4.5%), customer credit score (Grade A-D), loan-to-value ratio. To open a personal savings account at VietBank, customers must provide: Valid Citizen Identity Card (CCCD) with 12-digit number, Proof of residential address (utility bill or rental contract), Minimum initial deposit of 500,000 VND, Tax identification number (TIN) for interest reporting. Please contact your nearest branch for the most current information.",B,Answer B is more comprehensive and better structured.,tie,Both answers are comparable in quality and accuracy.,tie
What is the billing cycle for VietBank credit cards?,"Based on VietBank's documentation, Platinum - 1,500,000 VND, 300M-1B, 1.5%. All include free accident insurance up to 500M VND, airport lounge access (Platinum+), 0% installment at 5,000+ merchants. Minimum payment: 5% of outstanding balance or 500,000 VND (whichever is higher).","According to VietBank's policy documentation, Platinum - 1,500,000 VND, 300M-1B, 1.5%. Signature - 3,000,000 VND, 1-5B, 2.0%. Late payment fee: 4% of minimum payment amount. Please contact your nearest branch for the most current information.",B,Answer B is more comprehensive and better structured.,B,Answer A provides more accurate and relevant information.,B
"If a customer has a Grade A credit score, what home loan interest rate range would they qualify for?","Based on VietBank's documentation, Customers with Grade A credit (score > 750) receive 0.5-1.0% below standard rates. Deposit rates: demand deposits max 1.0%, term < 6 months max 4.75%, term ≥ 6 months market-determined. 2) Credit assessment (3-5 business days).","According to VietBank's policy documentation, Interest rates based on: State Bank base rate (currently 4.5%), customer credit score (Grade A-D), loan-to-value ratio. Customers with Grade A credit (score > 750) receive 0.5-1.0% below standard rates. 4) Loan committee approval. Please contact your nearest branch for the most current information.",A,Answer A provides more accurate and relevant information.,tie,Both answers are comparable in quality and accuracy.,tie
"A customer makes a credit card purchase of 10,000,000 VND and only pays the minimum. What is the minimum payment amount and what interest would accrue on the remaining balance?","The minimum payment for VietBank credit cards is 5% of the outstanding balance or 500,000 VND, whichever is higher.","The minimum payment for VietBank credit cards is 5% of the outstanding balance or 500,000 VND, whichever is higher. Late payments incur a 4% fee on the minimum amount, and revolving balances accrue 1.5-2.5% monthly interest.",B,Answer B is more comprehensive and better structured.,A,Answer B is more comprehensive and better structured.,tie
"Why would a customer with over 400,000,000 VND in transactions face additional scrutiny compared to a regular customer?","Based on VietBank's documentation, The account opening process typically takes 15-30 minutes at any VietBank branch. To open a personal savings account at VietBank, customers must provide: Valid Citizen Identity Card (CCCD) with 12-digit number, Proof of residential address (utility bill or rental contract), Minimum initial deposit of 500,000 VND, Tax identification number (TIN) for interest reporting. Interest rates based on: State Bank base rate (currently 4.5%), customer credit score (Grade A-D), loan-to-value ratio.","According to VietBank's policy documentation, To open a personal savings account at VietBank, customers must provide: Valid Citizen Identity Card (CCCD) with 12-digit number, Proof of residential address (utility bill or rental contract), Minimum initial deposit of 500,000 VND, Tax identification number (TIN) for interest reporting. The account opening process typically takes 15-30 minutes at any VietBank branch. Interest rates based on: State Bank base rate (currently 4.5%), customer credit score (Grade A-D), loan-to-value ratio. Please contact your nearest branch for the most current information.",B,Answer B is more comprehensive and better structured.,A,Answer B is more comprehensive and better structured.,tie
"If a loan becomes 100 days overdue, what classification would it receive and what is the bank's provision rate and collection action?","Based on VietBank's documentation, 2) Credit assessment (3-5 business days). 4) Loan committee approval. Collection: Day 1-10 SMS/email, 11-30 phone call, 31-60 demand letter, 61-90 collection team, 91+ legal proceedings, 181+ foreclosure.","According to VietBank's policy documentation, Required: CCCD, household registration, income proof (3 months salary slips), collateral documents. 2) Credit assessment (3-5 business days). Overdue classification: 0-10 days Current (0%), 10-30 Special Mention (5%), 31-90 Substandard (20%), 91-180 Doubtful (50%), 181+ Loss (100%). Please contact your nearest branch for the most current information.",B,Answer B is more comprehensive and better structured.,A,Answer B is more comprehensive and better structured.,tie
Compare the total annual cost of holding a Gold vs Platinum credit card assuming no transactions.,"Based on VietBank's documentation, Signature - 3,000,000 VND, 1-5B, 2.0%. Gold - 500,000 VND, 100-300M, 1.0%. Billing cycle: 30 days.","According to VietBank's policy documentation, All include free accident insurance up to 500M VND, airport lounge access (Platinum+), 0% installment at 5,000+ merchants. VietBank credit cards: Classic - 200,000 VND annual fee, 30-100M limit, 0.5% cashback. Late payment fee: 4% of minimum payment amount. Please contact your nearest branch for the most current information.",A,Answer A provides more accurate and relevant information.,A,Answer B is more comprehensive and better structured.,A
